identifier,city,state,country,openDate,distance,latitude,longitude,parentGeoNodeID,active,languageID,hasGasDepartment,hasTiresDepartment,hasFoodDepartment,hasHearingDepartment,hasPharmacyDepartment,hasOpticalDepartment,hasBusinessDepartment,hasPhotoCenterDepartment,gasPrices,locationName,isShipToWarehouse,isWarehousePickup,enableShipToHome,isBusinessWarehouse
1,SEATTLE,WA,US,9/15/1983,304.6257647,47.565,-122.329,10935,1,-1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,2.799,Seattle,TRUE,TRUE,FALSE,FALSE
2,PORTLAND,OR,US,10/27/1983,166.9258699,45.556,-122.521,10776,1,-1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,2.699,Portland,TRUE,TRUE,FALSE,FALSE
6,TUKWILA,WA,US,8/30/1984,297.1118362,47.445,-122.251,10935,1,-1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,2.769,Tukwila,TRUE,TRUE,FALSE,FALSE
8,KIRKLAND,WA,US,8/29/1985,313.7117781,47.681,-122.183,10935,1,-1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,2.739,Kirkland,TRUE,TRUE,FALSE,FALSE
9,ALOHA,OR,US,10/29/1985,160.5332613,45.508,-122.841,10776,1,-1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,2.759,Aloha,TRUE,TRUE,FALSE,FALSE
10,ANCHORAGE,AK,US,10/25/1984,5.086463528,61.145,-149.885,10133,1,-1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,2.699,Anchorage,TRUE,TRUE,FALSE,FALSE
13,SILVERDALE,WA,US,11/25/1986,308.4474041,47.654,-122.682,10935,1,-1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,2.659,Silverdale,TRUE,TRUE,FALSE,FALSE
17,EUGENE,OR,US,11/9/1989,62.23786254,44.09,-123.068,10776,1,-1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,2.599,Eugene,TRUE,TRUE,FALSE,FALSE
21,DANVILLE,CA,US,3/16/1989,140.1505611,37.782,-121.975,10175,1,-1,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,,Danville,TRUE,TRUE,FALSE,FALSE
25,RENO,NV,US,11/8/1988,95.79704932,39.507,-119.786,10629,1,-1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,2.829,Reno,TRUE,TRUE,FALSE,FALSE
28,LAGUNA NIGUEL,CA,US,3/1/1990,35.29088138,33.556,-117.677,10175,1,-1,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,3.399,Laguna Niguel,TRUE,TRUE,FALSE,FALSE
29,ROSEVILLE,CA,US,11/10/1995,162.4563974,38.782,-121.266,10175,1,-1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,3.079,Roseville CA,TRUE,TRUE,FALSE,FALSE
31,FRESNO,CA,US,9/12/1985,110.3923953,36.809,-119.874,10175,1,-1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,2.979,Fresno,TRUE,TRUE,FALSE,FALSE
38,STOCKTON,CA,US,10/23/1986,121.0110649,38.021,-121.292,10175,1,-1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,2.969,Stockton,TRUE,TRUE,FALSE,FALSE
41,SANTA ROSA,CA,US,11/11/1986,80.34853362,38.42,-122.712,10175,1,-1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,3.339,Santa Rosa,TRUE,TRUE,FALSE,FALSE
48,VAN NUYS,CA,US,11/9/1989,15.32934171,34.182,-118.464,10175,1,-1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,3.279,Van Nuys,TRUE,TRUE,FALSE,FALSE
51,BURNABY,BC,CA,10/30/1985,1359.429095,49.251,-122.919,10011,1,-1,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,,Burnaby,TRUE,TRUE,FALSE,FALSE
54,RICHMOND,BC,CA,10/8/1988,1368.197214,49.193,-123.122,10011,1,-1,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,,Richmond BC,TRUE,TRUE,FALSE,FALSE
55,SURREY,BC,CA,10/19/1989,1363.577105,49.139,-122.847,10011,1,-1,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,,Surrey,TRUE,TRUE,FALSE,FALSE
56,CALGARY,AB,CA,11/1/1990,1026.787703,51.078,-113.989,10003,1,-1,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,,N Calgary,TRUE,TRUE,FALSE,FALSE
57,WINNIPEG,MB,CA,10/25/1990,872.878352,49.902,-97.2,10032,1,-1,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,,W Winnipeg,TRUE,TRUE,FALSE,FALSE
59,KELOWNA,BC,CA,8/15/1991,1230.080566,49.888,-119.42,10011,1,-1,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,,Kelowna,TRUE,TRUE,FALSE,FALSE
61,FEDERAL WAY,WA,US,3/9/1989,285.8472597,47.287,-122.314,10935,1,-1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,2.759,Federal Way,TRUE,TRUE,FALSE,FALSE
63,ANCHORAGE,AK,US,11/5/1992,1.877048624,61.21,-149.804,10133,1,-1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,2.699,NE Anchorage,TRUE,TRUE,FALSE,FALSE
64,TUMWATER,WA,US,11/14/1991,262.2375277,46.997,-122.918,10935,1,-1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,2.839,Tumwater,TRUE,TRUE,FALSE,FALSE
67,MISSOULA,MT,US,11/27/1991,388.4771282,46.895,-114.039,10611,1,-1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,2.329,Missoula,TRUE,TRUE,FALSE,FALSE
68,SALEM,OR,US,3/26/1992,119.251948,44.92,-122.997,10776,1,-1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,2.549,Salem,TRUE,TRUE,FALSE,FALSE
69,BILLINGS,MT,US,12/5/1991,270.0275967,45.755,-108.569,10611,1,-1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,2.319,Billings,TRUE,TRUE,FALSE,FALSE
88,POMPANO BEACH,FL,US,11/29/1988,381.7442848,26.274,-80.148,10290,1,-1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,2.239,Pompano,TRUE,TRUE,FALSE,FALSE
91,DAVIE,FL,US,8/17/1989,106.842174,26.097,-80.251,10290,1,-1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,2.319,Davie,TRUE,TRUE,FALSE,FALSE
93,PALM BEACH GARDENS,FL,US,5/18/1989,356.9814735,26.808,-80.087,10290,1,-1,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,,Palm Beach Gardens,TRUE,TRUE,FALSE,FALSE
95,TACOMA,WA,US,5/24/1984,280.4133957,47.225,-122.467,10935,1,-1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,2.739,Tacoma,TRUE,TRUE,FALSE,FALSE
96,BOZEMAN,MT,US,8/28/1997,160.8883224,45.713,-111.071,10611,1,-1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,2.439,Bozeman,TRUE,TRUE,FALSE,FALSE
97,CLACKAMAS,OR,US,11/24/1986,157.7162847,45.428,-122.575,10776,1,-1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,2.679,Clackamas,TRUE,TRUE,FALSE,FALSE
101,BEND,OR,US,8/17/1993,118.8726136,44.055,-121.27,10776,1,-1,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,,Bend,TRUE,TRUE,FALSE,FALSE
103,CLARKSTON,WA,US,7/29/1993,264.7893038,46.423,-117.044,10935,1,-1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,2.509,Clarkston,TRUE,TRUE,FALSE,FALSE
106,SHORELINE,WA,US,6/30/1994,318.8869322,47.776,-122.344,10935,1,-1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,2.759,Aurora Village,TRUE,TRUE,FALSE,FALSE
107,JUNEAU,AK,US,11/4/1993,567.8907282,58.358,-134.483,10133,1,-1,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,,Juneau,TRUE,TRUE,FALSE,FALSE
110,ISSAQUAH,WA,US,9/9/1994,306.1509972,47.551,-122.05,10935,1,-1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,2.759,Issaquah,TRUE,TRUE,FALSE,FALSE
111,TIGARD,OR,US,11/3/1986,156.3498737,45.436,-122.756,10776,1,-1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,2.699,Tigard,TRUE,TRUE,FALSE,FALSE
112,EAST WENATCHEE,WA,US,6/23/1995,325.2679969,47.402,-120.282,10935,1,-1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,2.859,Wenatchee,TRUE,TRUE,FALSE,FALSE
113,SALT LAKE CITY,UT,US,12/2/1995,32.01462505,40.731,-111.9,10885,1,-1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,2.269,Salt Lake City,TRUE,TRUE,FALSE,FALSE
114,EVERETT,WA,US,11/1/1984,328.7246222,47.905,-122.207,10935,1,-1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,2.779,Everett WA,TRUE,TRUE,FALSE,FALSE
115,LYNNWOOD,WA,US,10/3/1996,322.5392363,47.826,-122.311,10935,1,-1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,2.759,Lynnwood Business Center,TRUE,FALSE,FALSE,TRUE
116,ALBUQUERQUE,NM,US,12/1/1984,508.8581461,35.137,-106.616,10674,1,-1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,2.039,Albuquerque,TRUE,TRUE,FALSE,FALSE
117,WESTLAKE VILLAGE,CA,US,8/8/1996,32.28049629,34.153,-118.797,10175,1,-1,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,,Westlake Village,TRUE,TRUE,FALSE,FALSE
118,SAN LEANDRO,CA,US,5/21/1987,147.962195,37.718,-122.181,10175,1,-1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,3.059,San Leandro,TRUE,TRUE,FALSE,FALSE
119,KAHULUI,HI,US,5/26/1995,95.09134402,20.888,-156.451,10354,1,-1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,3.019,Maui,TRUE,TRUE,FALSE,FALSE
120,HONOLULU (OAHU),HI,US,9/3/1992,9.62262552,21.284,-157.71,10354,1,-1,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,,Hawaii Kai,TRUE,TRUE,FALSE,FALSE
121,EL CENTRO,CA,US,5/14/1992,214.4879692,32.812,-115.57,10175,1,-1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,3.179,El Centro,TRUE,TRUE,FALSE,FALSE
122,TUSTIN,CA,US,10/1/1992,48.53948281,33.727,-117.796,10175,1,-1,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,,Tustin Ranch,TRUE,TRUE,FALSE,FALSE
124,VISTA,CA,US,11/24/1993,2.593886846,33.187,-117.276,10175,1,-1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,3.259,Vista,TRUE,TRUE,FALSE,FALSE
125,EUREKA,CA,US,11/3/1994,143.2375273,40.792,-124.179,10175,1,-1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,3.499,Eureka,TRUE,TRUE,FALSE,FALSE
126,GARDEN GROVE,CA,US,6/25/1987,56.6593918,33.774,-117.941,10175,1,-1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,3.099,Garden Grove,TRUE,TRUE,FALSE,FALSE
127,CARSON CITY,NV,US,11/10/2000,84.86768755,39.116,-119.776,10629,1,-1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,2.859,Carson City,TRUE,TRUE,FALSE,FALSE
