ICAO Code,Manufacturer,Model,Engine Class,Number of Engines,Min Approach Speed,MTOW,MALW,Weight Class,Parking,Class,Registration Count
A124,ANTONOV,Antonov AN-124 Ruslan,Jet,4,151,892871,727525,Heavy,57915.6,Fixed-wing,55
A19N,AIRBUS,Airbus A319 Neo,Jet,2,130,166449,137789,Medium,14790,Fixed-wing,0
A20N,AIRBUS,Airbus A320 Neo,Jet,2,137,174165,148591,Medium,16358.3,Fixed-wing,147
A21N,AIRBUS,Airbus A321 Neo,Jet,2,136,209439,174606,Medium,19253,Fixed-wing,106
A306,AIRBUS,Airbus A300 B4-600,Jet,2,137,363760,304230,Heavy,28666.7,Fixed-wing,29
A30B,AIRBUS,Airbus A300-B2,Jet,2,137,363760,299829,Heavy,28352.9,Fixed-wing,3
A310,AIRBUS,Airbus A310,Jet,2,139,317465,273372,Heavy,24361,Fixed-wing,26
A318,AIRBUS,Airbus A318,Jet,2,121,149914,126766,Medium,13185,Fixed-wing,7
A319,AIRBUS,Airbus A319,Jet,2,126,168653,134482,Medium,14140.5,Fixed-wing,413
A320,AIRBUS,Airbus A320,Jet,2,136,171961,145505,Medium,16354.4,Fixed-wing,698
A321,AIRBUS,Airbus A321,Jet,2,142,200621,171520,Medium,19256.3,Fixed-wing,491
A332,AIRBUS,Airbus A330-200,Jet,2,136,533519,401241,Heavy,41268.8,Fixed-wing,77
A333,AIRBUS,Airbus A330-300,Jet,2,137,533519,412264,Heavy,44473.5,Fixed-wing,43
A337,AIRBUS,Airbus A330-700 - Beluga XL,Jet,2,137,500449,412260,Heavy,44053.6,Fixed-wing,0
A338,AIRBUS,Airbus A330-800,Jet,2,140,544542,410060,Heavy,43560,Fixed-wing,0
A339,AIRBUS,Airbus A330-900,Jet,2,140,553400,421080,Heavy,47058,Fixed-wing,11
A342,AIRBUS,Airbus A340-200,Jet,4,145,606271,399037,Heavy,41555.6,Fixed-wing,0
A343,AIRBUS,Airbus A340-300,Jet,4,145,609578,423288,Heavy,44467.3,Fixed-wing,1
A345,AIRBUS,Airbus A340-500,Jet,4,146,837756,542337,Heavy,49714.4,Fixed-wing,0
A346,AIRBUS,Airbus A340-600,Jet,4,153,837756,584225,Heavy,55031.2,Fixed-wing,0
A359,AIRBUS,Airbus 350-900,Jet,2,140,617295,456357,Heavy,49856.9,Fixed-wing,28
A35K,AIRBUS,Airbus A350-1000 XWB,Jet,2,154,696661,513677,Heavy,54952.8,Fixed-wing,0
A388,AIRBUS,Airbus A380-800,Jet,4,138,1267658,868621,Super,66179.4,Fixed-wing,0
A400,AIRBUS,Airbus A400M Atlas,Turboprop,4,130,310852,271166,Heavy,22812.3,Fixed-wing,0
AC50,AERO,Aero Commander 500,Piston,2,77,6000,4300,Light,2466.8,Fixed-wing,169
AC56,AERO,Aero Commander 560,Piston,2,97,6000,4300,Light,2468.5,Fixed-wing,24
AC68,AERO,Aero Commander 680FP,Piston,2,97,8500,8500,Light,2386,Fixed-wing,38
AC6L,AERO,Aero Commander 680FL,Piston,2,98,9000,9000,Light,2595.8,Fixed-wing,16
AC90,GULFSTREAM AEROSPACE-ROCKWELL,Gulfstream 690 Commander 690,Turboprop,2,97,10325,9675,Light,3064.6,Fixed-wing,179
AC95,GULFSTREAM AEROSPACE-ROCKWELL,Gulfstream Jetprop Commander 1000,Turboprop,2,100,10325,9675,Light,2979.6,Fixed-wing,0
AN12,ANTONOV,Antonov AN-12,Turboprop,4,127,134482,127868,Medium,15717.7,Fixed-wing,0
AN72,ANTONOV,Antonov AN-74-100/200,Jet,2,100,76060,72753,Medium,11130.1,Fixed-wing,0
B18T,BEECH,Beech 18 (Turbo),Turboprop,2,87,9900,9500,Light,2758,Fixed-wing,3
B190,BEECH,Beech 1900/C-12J,Turboprop,2,121,17120,16000,Medium,4261.6,Fixed-wing,143
B37M,BOEING,Boeing 737 MAX 7,Jet,2,145,177000,145600,Medium,15553.3,Fixed-wing,7
B38M,BOEING,Boeing 737 MAX 8,Jet,2,145,181200,152800,Medium,17214.7,Fixed-wing,148
B39M,BOEING,Boeing 737 MAX 9,Jet,2,150,194700,163900,Medium,18313.7,Fixed-wing,53
B703,BOEING,Boeing 707-300,Jet,4,128,333600,215000,Heavy,24603.9,Fixed-wing,9
B712,BOEING,Boeing 717-200,Jet,2,139,118000,100000,Medium,13330,Fixed-wing,122
B721,BOEING,Boeing 727-100 (C-22),Jet,2,124,160000,140000,Medium,16304.1,Fixed-wing,1
B722,BOEING,Boeing 727-200,Jet,2,133,184800,150000,Medium,18663.7,Fixed-wing,41
B732,BOEING,Boeing 737-200/VC96,Jet,2,129,115500,103000,Medium,10832.2,Fixed-wing,17
B733,BOEING,Boeing 737-300,Jet,2,135,139500,115800,Medium,12002.3,Fixed-wing,70
B734,BOEING,Boeing 737-400,Jet,2,139,150000,123700,Medium,13049.8,Fixed-wing,55
B735,BOEING,Boeing 737-500,Jet,2,128,136000,110000,Medium,11182.1,Fixed-wing,22
B736,BOEING,Boeing 737-600,Jet,2,125,144500,121500,Medium,13177.4,Fixed-wing,6
B737,BOEING,Boeing 737-700,Jet,2,130,154500,145600,Medium,14137.2,Fixed-wing,633
B738,BOEING,Boeing 737-800,Jet,2,144,174200,146275,Medium,16487,Fixed-wing,971
B739,BOEING,Boeing 737-900,Jet,2,149,187700,71400,Medium,17549.4,Fixed-wing,296
B741,BOEING,Boeing 747-100,Jet,4,144,750000,585000,Heavy,48709.5,Fixed-wing,5
B742,BOEING,Boeing 747-200,Jet,4,150,833000,630000,Heavy,48708.8,Fixed-wing,13
B743,BOEING,Boeing 747-300,Jet,4,142,833000,574000,Heavy,48709.5,Fixed-wing,0
B744,BOEING,Boeing 747-400,Jet,4,157,910000,630000,Heavy,48713.8,Fixed-wing,125
B748,BOEING,Boeing 747-8,Jet,4,159,987000,688000,Heavy,59815.3,Fixed-wing,41
B752,BOEING,Boeing 757-200,Jet,2,137,255500,198000,Medium,21601.7,Fixed-wing,474
B753,BOEING,Boeing 757-300,Jet,2,143,270000,224000,Medium,24752.1,Fixed-wing,37
B762,BOEING,Boeing 767-200,Jet,2,135,315000,260000,Heavy,27265.3,Fixed-wing,65
B763,BOEING,Boeing 767-300,Jet,2,140,412000,320000,Heavy,30766.3,Fixed-wing,462
B764,BOEING,Boeing 767-400,Jet,2,150,450000,350000,Heavy,37207.5,Fixed-wing,37
B772,BOEING,Boeing 777-200,Jet,2,140,656000,470000,Heavy,44939.7,Fixed-wing,169
B773,BOEING,Boeing 777-300,Jet,2,149,660000,524000,Heavy,44939.7,Fixed-wing,6
B778,BOEING,Boeing 777-8 ,Jet,2,152,775000,587000,Heavy,57423.6,Fixed-wing,0
B779,BOEING,Boeing 777-9,Jet,2,154,775000,587000,Heavy,63018.7,Fixed-wing,5
B77L,BOEING,Boeing 777-200LRF/LR,Jet,2,140,766106,575000,Heavy,47551.6,Fixed-wing,12
B77W,BOEING,Boeing 777-300ER,Jet,2,149,775000,554000,Heavy,55052.3,Fixed-wing,51
B788,BOEING,Boeing 787-8 BBJ/Dreamliner,Jet,2,144,502500,380000,Heavy,39602,Fixed-wing,69
B789,BOEING,Boeing 787-9 Dreamliner,Jet,2,144,560000,425000,Heavy,43747,Fixed-wing,68
B78X,BOEING,Boeing 787-10 Dreamliner,Jet,2,149,560000,445000,Heavy,47488.3,Fixed-wing,16
BCS1,AIRBUS-BOMBARDIER,Airbus A220-100,Jet,2,130,139100,119490,Medium,14978.3,Fixed-wing,45
BCS3,AIRBUS-BOMBARDIER,Airbus A220-300,Jet,2,135,156307,133600,Medium,16511.5,Fixed-wing,42
BE10,BEECH,Beech King Air 100,Turboprop,2,111,11800,11210,Light,2511.6,Fixed-wing,105
BE18,BEECH,Beech 18,Piston,2,87,9700,9400,Light,2401.6,Fixed-wing,186
